pathway,frequency_hz,response_amplitude_percent,pulse_number
DD,0.1,100.0,2
DD,1.0,99.6885840047143,2
DD,2.0,99.15077971360101,2
DD,5.0,107.2667990677635,2
DD,10.0,119.31474545688855,2
DD,20.0,129.60294094645522,2
DD,30.0,133.89355437690554,2
DD,40.0,136.22213464135896,2
MD,0.1,97.5727977723683,2
MD,1.0,76.6697321186985,2
MD,2.0,73.5442253612091,2
MD,5.0,71.50172313471363,2
MD,10.0,71.96475140905116,2
MD,20.0,78.10635148711077,2
MD,30.0,84.55845601681835,2
MD,40.0,89.65218321019688,2
PD,0.1,99.99999998841315,2
PD,1.0,96.36058534620132,2
PD,2.0,89.20827776008969,2
PD,5.0,79.28547507515171,2
PD,10.0,74.59252769880618,2
PD,20.0,75.27547170664317,2
PD,30.0,79.25771223013656,2
PD,40.0,83.27047836623117,2
