pattern_name,interaction_coefficient,individual_sum,integrated_response,total_stimuli,DD_response,MD_response,PD_response
Regular_5Hz_Equal,0.0,5.470708328954254,5.470708328954254,30,2.0506610323363956,1.1928136292716536,2.227233667346205
Regular_15Hz_Equal,0.0,10.517405531310915,10.517405531310915,90,5.420557467106372,1.3977019007039182,3.6991461635006258
Regular_20Hz_Equal,-3.7505373610877567e-16,14.208818644204033,14.208818644204028,120,6.335788806338912,1.427004744632945,6.446025093232175
Regular_30Hz_Equal,-2.0640382920894962e-16,17.21244074015685,17.212440740156847,183,7.470688394112175,1.4650724561192616,8.276679889925415
Theta_Bursts_8Hz,-4.0697214479496587e-16,17.459247391933282,17.459247391933275,192,7.167360230659164,1.4483288899670128,8.843558271307103
Gamma_Bursts_40Hz,4.109751485650263e-15,21.611487283387252,21.61148728338734,720,8.723893714577498,1.4901520576665883,11.397441511143166
Poisson_Low_10Hz,-2.0191523349252276e-16,8.79753750459859,8.797537504598589,69,4.165007871745758,1.3628631088721803,3.2696665239806526
Poisson_High_25Hz,-2.4717797097152853e-16,14.373099936198297,14.373099936198294,156,6.152499145427603,1.4021253254233226,6.818475465347372
Theta_Modulated_Low,1.4098886085655972e-16,6.299635405975417,6.299635405975418,38,2.5170260167703495,1.2572740693547058,2.5253353198503623
Theta_Modulated_High,-6.912956054358034e-16,10.278421129440902,10.278421129440895,82,5.268607862273615,1.3634877346843,3.646325532482986
Mixed_Below_Threshold,0.0,9.342768706874905,9.342768706874905,86,4.021579129917081,1.3977019007039182,3.9234876762539064
Mixed_Above_Threshold,-8.295287673313114e-16,17.13123796890124,17.131237968901225,181,6.941796340558107,1.4650724561192616,8.724369172223868
